file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
en,0.0,1.3586875,examples,-56.044322294347424,-55.974700927734375,1.4702937752384673,17.724893031625413
en_tts,0.0,2.664,examples,-49.63826803336466,-53.2748380962171,1.414213694081795,23.478466633588862
zh,0.0,4.2039375,examples,-53.38586774553571,,,9.653511143386535
SP01_001,0.0,3.88,examples,-52.29950769168814,,,26.43594775219355
